,g_name,g_id,votecount
10721,Comedy,35,24
10722,Comedy,35,120
10723,Drama,18,120
10724,Drama,18,718
10725,Romance,10749,718
10726,Drama,18,521
10727,Thriller,53,521
10728,Crime,80,339
10729,Drama,18,339
10730,Drama,18,47
10731,Romance,10749,47
10732,Drama,18,565
10733,Documentary,99,138
10734,Action,28,138
10735,Adventure,12,138
10736,Drama,18,6
10737,Music,10402,6
10738,Romance,10749,6
10739,Comedy,35,107
10740,Drama,18,107
10741,Documentary,99,286
10742,Drama,18,658
10743,Music,10402,658
10744,Romance,10749,658
10745,Crime,80,298
10746,Drama,18,298
10747,Crime,80,197
10748,Drama,18,197
10749,Thriller,53,197
10750,Action,28,197
10751,Crime,80,92
10752,Drama,18,92
10753,Thriller,53,92
10754,Comedy,35,26
10755,Drama,18,26
10756,Romance,10749,26
10757,Horror,27,58
10758,Romance,10749,140
10759,Drama,18,140
